@midnight	At Midnight
Battlestar Galactica (2003)	BSG
Bordertown (2016)	Bordertown (US)
Cosmos: A Spacetime Odyssey	Cosmos A Space Time Odyssey
CSI: Crime Scene Investigation	CSI
Forever (2014)	Forever (US)
House of Cards	HOC
How I Met Your Mother	HIMYM
Law & Order: Special Victims Unit	Law & Order SVU
Law & Order: Special Victims Unit	Law and Order SVU
M*A*S*H	M.A.S.H.
M*A*S*H	MASH
Naruto Shippuden	Naruto Shippuuden
NCIS: Los Angeles	NCIS LA
NCIS: Los Angeles	NCIS LosAngeles
NCIS: New Orleans	Navy CIS New Orleans
NCIS: New Orleans	NCIS NO
Outsiders	Outsiders (2016)
Proof (2015)	Proof (US)
Resurrection	Resurrection (US)
Revolution	Revolution (2012)
Scream	Scream The TV Series
Sex&Drugs&Rock&Roll	Sex and Drugs and Rock and Roll
Stargate SG-1	Stargate
Supergirl	Super Girl
The Big Bang Theory	TBBT
The Bridge (2013)	The Bridge (US)
The Code (2014)	The Code (AU)
The Late Late Show with Craig Ferguson	Craig Ferguson
The Walking Dead	TWD
World Series of Poker	WSOP
