11.22.63	11/22/63
^episodes.(s\d{2}e\d{2}|\dx\d{2})	Episodes
at.midnight	@midnight
BSG	Battlestar Galactica
Craig.Ferguson	The Late Late Show with Craig Ferguson
CSI(?!.{0,3}(NY|LA|Miami|New.Orleans|Academy|Cyber))	CSI: Crime Scene Investigation
epl	English Premier League
greysana	Grey's Anatomy
HIMYM	How I Met Your Mother
Hml8p	Homeland
hoc	House of Cards
law.and.order.svu	Law & Order: Special Victims Unit
MBFAGW	My Big Fat American Gypsy Wedding
Navy.CIS.New.Orleans	NCIS: New Orleans
NCIS.LA	NCIS: Los Angeles
NCIS.NO	NCIS: New Orleans
poid	Person of Interest
SOS	Shahs of Sunset
SuiG7p	Suits
TBBT	The Big Bang Theory
tv..got	Game of Thrones
tv..poi	Person of Interest
tv..shield	Marvel's Agents of S.H.I.E.L.D.
tv..soa	Sons of Anarchy
TWD	The Walking Dead
UndG7p	Underemployed
wsop	World Series of Poker
